,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,X1,isotopes,adduct,pcgroup,mtab_alm_UW_072718_04.mzML,mtab_alm_UW_072718_08.mzML,mtab_alm_UW_072718_81.mzML,mtab_alm_UW_072718_55.mzML,mtab_alm_UW_072718_59.mzML,mtab_alm_UW_072718_89.mzML,mtab_alm_UW_072718_106.mzML,mtab_alm_UW_072718_124.mzML,mtab_alm_UW_072718_158.mzML,mtab_alm_UW_072718_160.mzML,mtab_alm_UW_072718_161.mzML,mtab_alm_UW_072718_162.mzML
28,111.0087,111.0086,111.0087,158.0157,152.8636,163.7956,39,39,,,146,14.47777736271974,14.583794708280182,14.663676945441635,18.44913287295174,14.581650081093368,14.30187641007239,14.20663288936393,14.68931759431312,13.542085261131025,14.077685653196829,14.25529728050243,13.767076820339678
29,111.0199,111.0198,111.02,47.7881,46.5529,51.4918,17,17,,,58,13.93030175638346,13.234439160847055,11.67301952467294,16.678467626528274,11.74321445966195,12.493490864273745,13.451462705133633,0.0,12.53046256964126,0.0,9.937428359354417,0.0
30,111.0814,111.0814,111.0815,294.1669,292.8992,295.0571,73,73,,,8,11.033750733972155,9.807584781900738,9.783906730305587,19.50617240227176,20.7117742256235,19.730683070232253,19.522089718591616,20.101472876764152,19.818249226013705,22.13888082696232,20.196874407946428,20.45363195123002
31,112.012,112.0119,112.0131,58.0187,22.7796,59.701,18,18,[2][M+1]-,,6,12.63453044201977,0.0,0.0,17.92408061743872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,112.9856,112.9854,112.9857,29.4114,27.1392,30.4538,131,129,[3][M]-,,4,24.15615760289508,23.38713522689798,23.39065991632301,24.53870979183852,25.60411807478057,25.75627712695495,26.00320628754955,25.717643804359888,25.71114791775102,27.68889583705623,25.654658481531747,25.743309387166025
33,112.9991,112.999,112.9992,49.0066,45.4695,51.0829,26,26,,,855,16.05811129842737,14.124792410519566,13.666945097181143,15.988634592841699,13.862622369497721,15.639416353747164,13.335298662432644,0.0,13.769097338761583,15.116003194731011,12.45141854281769,0.0
34,113.9887,113.9886,113.9888,545.3281,499.8419,575.1851,224,47,,,750,18.716115786525982,19.12141948826018,18.925226397291304,19.081113598092116,18.38146888716374,18.9772828380662,18.062296851880046,19.926430430313875,18.224718673899478,18.10643904395536,18.80642913911026,18.822352001889897
35,113.9888,113.9888,113.9889,29.4875,27.1392,30.7486,85,85,[3][M+1]-,,4,18.567429482782845,17.886709882449022,17.69800963723077,18.584493478571442,20.01347304141108,20.22803289427368,20.446811871488553,20.087628755789172,20.176455892257476,22.008757343897795,20.040189864973296,20.091658130411798
36,114.934,114.9339,114.934,11.8639,8.525,23.006,60,44,,,57,17.14909114531702,16.274940368103263,18.71097074509072,19.37911909641975,19.164697645881688,19.6116408411098,19.192521595724852,19.091844344803985,19.44775118680016,19.248095708461523,19.30522712495848,19.060087157789575
37,114.9886,114.9885,114.9889,27.4702,24.9915,28.6327,137,137,,,3,0.0,0.0,0.0,19.33829340375398,14.171457292704824,14.465239439807977,15.743493565918595,13.070104871970214,15.201530435254915,16.159905424241202,14.003883473369848,13.915951847115753
38,115.0036,115.0034,115.0037,58.9587,24.7679,60.2192,17,16,,,429,19.05195070453599,18.81890656925419,19.05723306383235,17.899906372762164,0.0,0.0,11.758884182154814,11.611000629088466,11.924633145687345,0.0,0.0,13.192526756826336
39,115.04,115.0399,115.04,154.1078,142.9798,165.0084,13,12,,,708,14.564633959235522,14.00140188203596,13.511641140070342,17.54978106656114,13.900063750893521,13.839510968568197,13.29720333217718,12.616480859537553,14.058489235744595,13.169378311396459,13.254344521710141,13.7101464303812
40,115.9206,115.9204,115.9206,569.8258,519.7005,595.7944,288,63,,,874,18.953448855224153,18.476074941071275,19.46977486714291,18.916622538542,18.943492627628316,19.65145428815597,18.27688742213288,18.7222117974877,19.277403460481267,21.619594354279684,19.145729329086173,19.581562603763867
41,116.9285,116.9283,116.9286,13.3834,1.0178,53.1168,116,87,,,846,22.937327184346646,21.927005388359667,23.68423149069687,23.78133264158049,23.84562454243161,24.182241415377792,23.905931382525722,23.892762824792378,24.146964513339984,23.9313627502974,24.181735334675732,23.810083754484992
42,116.9283,116.9282,116.9285,544.7957,510.3965,582.0629,25,11,,,751,0.0,0.0,0.0,21.23816046004524,0.0,0.0,24.31590144290543,21.122882089967835,22.081463740052868,24.42713063555755,0.0,21.031906354354426
43,117.0192,117.0191,117.0193,80.7534,74.265,88.418,136,135,,,114,14.7499605532095,16.112022989262645,15.233149800494461,20.99308474897426,19.62964777622944,19.579624502582206,18.010161005203486,19.596192588351812,19.422225875977418,20.573740315432257,19.35279080722767,18.988507127952538
44,117.0556,117.0555,117.0557,198.8582,182.7692,208.1317,162,100,,,945,16.181394372766558,14.287501191288435,14.542792058648446,18.350309027857616,14.46479000626702,13.770068270103964,14.271091666760668,14.140645651151676,14.262083938728253,14.707194684316143,13.820550563969661,14.289301750817962
45,117.0556,117.0555,117.0557,162.0297,156.966,172.2993,107,107,,,29,16.513580912800712,15.656379406848265,15.134326438792206,18.53459748698127,14.51321718081262,14.599042246894173,14.042297431337062,14.781352446961819,15.141810266818027,13.252887945473251,14.656363343185253,14.43580200454521
46,117.9286,117.9285,117.9287,18.8975,8.525,38.6711,288,145,,,137,19.067654789112925,18.363203445035392,19.631385087926105,20.67921660300118,20.654914997626587,20.628252016540905,20.382431395204144,20.301449023291777,20.672128551695604,22.695162578016955,20.79103153137243,20.397099763155833
47,118.924,118.9239,118.9242,557.1633,516.196,579.787,183,42,,,262,18.984295861794884,18.378689221565477,18.653359786021035,18.612125652651994,18.477398546356234,18.78594145576075,18.389075039299104,18.454269253969063,19.204312154212207,18.865249409244825,18.928974136178994,18.57997849920302
48,118.9268,118.9267,118.9268,116.3358,80.2518,151.0243,83,14,,,266,18.10801239488778,14.790289459913241,18.07009424947181,18.77686328600768,18.65335886366266,18.987672171947853,18.94301124041616,18.832361454570474,18.414232149966697,18.57454605165577,19.338788652777883,18.90876916630439
49,118.9267,118.9267,118.9269,481.6359,451.7533,509.6357,28,9,,,766,19.003292896660543,19.143395608401892,19.14041709097964,18.737188061368084,19.133361125450847,19.09842243597547,19.12831214015389,18.45398011806975,18.475512213292962,18.29464042714394,17.167442567444734,18.876393081451777
50,118.9662,118.9661,118.9662,27.4208,24.9915,28.561,137,137,,,3,10.20603113688769,12.35452443084916,12.851975356385495,20.35891994191894,16.052673279216002,17.19534755129743,17.00806888672194,16.27195879072711,16.465704592727242,16.305985331457457,16.098519191301687,16.19258049020704
51,118.9929,118.9929,118.993,27.1734,25.9808,27.8234,9,9,,,3,0.0,0.0,0.0,15.7848525971189,14.230736720545131,14.591404744227837,14.759220738408997,14.640561974514547,14.965672443790538,14.794810584598755,14.766975426083016,15.75214178111923
52,119.0349,119.0347,119.0351,48.4478,42.512,56.6675,184,133,,,853,12.831622186026001,12.794298244702023,12.695128384227734,21.727399214344548,13.079487210346128,14.88905085831042,13.271129593067506,11.45637533408128,16.21384364488086,14.33484797643358,14.153031685092165,11.297339662124674
53,119.9075,119.9074,119.9075,22.5677,9.2656,26.3756,53,30,,,733,13.896317037939468,13.63936718132372,17.536079049572553,18.41912835820644,18.186146792268474,17.988529527889586,19.428922123688707,19.5660053011845,18.396982974900176,18.354398612953624,18.645938154077072,19.41259586447068
54,120.9547,120.9546,120.9548,26.2975,24.3105,30.3945,45,45,,,62,9.81514510202426,10.619043055441578,0.0,18.72097134591299,16.637761844893326,16.430311441191552,16.607608677307578,16.321433232158714,15.666577851011182,17.202457733130235,16.458797793050465,15.55716073715313
55,121.0294,121.0287,121.0295,273.2079,250.8039,275.6116,158,137,,,1004,19.16429034167681,17.899964222233514,18.08702958921161,20.986508556856815,16.751526848974674,16.984272139506757,16.388306104019016,16.465987795230294,16.623530521157335,16.8012666817199,17.237281827785655,16.688103274326274
56,121.0294,121.0287,121.0295,222.2908,194.353,228.866,136,136,,,67,16.803088619010992,16.45275978029493,15.807826084638622,21.5011841017885,16.06015911618956,15.5670104263542,15.61350728331376,16.15711975509545,13.695610881075913,15.315013052999028,15.613062452241103,14.679107843727829
57,121.0294,121.0293,121.0294,328.2387,327.198,329.0358,42,42,,,188,17.84850649953732,17.572306503013703,16.71873328727403,19.274320657123045,16.60708217004597,16.448450320837747,16.86146753881278,16.594333278219693,16.600582436587366,16.6906530585736,16.45429729741341,15.61043014835603
58,121.0444,121.0442,121.0444,78.7407,72.5094,86.5234,148,148,,,956,22.69694095957468,22.770996358809715,22.87154097576961,22.533638254243527,22.60383984300633,22.122745720997955,21.57100745994709,22.40922109481106,22.513520489365092,24.541753081387984,22.579409885748305,22.539425045480822
59,121.0658,121.0657,121.0658,300.0862,298.9812,300.3908,26,26,,,106,11.129680392633777,9.933954339264547,0.0,18.138957815355244,0.0,10.65875023885064,0.0,0.0,9.700256530460363,8.929850993251485,0.0,0.0
60,121.9045,121.9045,121.9045,161.6773,100.5286,252.0011,271,27,,,29,18.562142404187366,16.07593365775971,19.47269490057151,18.85289298227147,19.176487293984568,19.07886544062547,18.565075760660953,18.755349136437573,18.761518331239277,18.311737218951894,18.319457665142778,18.445009810445793
61,121.9045,121.9044,121.9046,426.3841,380.97,479.9192,77,19,,,964,18.844687549466325,18.66618991312909,19.41379075034128,18.980176524377548,19.026475932255448,19.22249998189219,18.79262976420945,18.626107828398762,18.453793515202857,18.53311163203901,18.552597569009418,18.624833689794666
62,122.0246,122.0243,122.0248,200.7219,58.2449,323.121,440,42,,,180,20.043584210394446,19.129100926288547,19.080099795737706,18.59207763954881,19.084793161124765,19.190515316556397,18.69942815461542,18.668750483887212,18.95042589530331,17.777260863652714,18.501088773405353,18.32241266156674
63,122.0477,122.0476,122.0477,73.9911,72.9867,86.5234,14,14,,,158,17.63226723866968,18.06160630022915,0.0,15.858289932275769,17.626233594166887,0.0,15.893526003850445,15.789846685489598,0.0,0.0,0.0,17.29832591229738
64,123.0451,123.045,123.0451,305.875,304.2154,306.4005,36,36,,,920,12.699760967009732,11.642524059113388,9.5298527326889,13.924220052310071,10.062206328648802,9.87260982765473,10.926203963919754,11.117054308603382,9.828327946422585,10.217477955529537,0.0,0.0
65,124.0073,124.0071,124.0075,32.167,24.7679,33.124,124,124,,,9,22.716826117401997,22.442798008686207,22.70951899332688,18.501188542850517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,124.0152,124.0149,124.016,57.447,29.7684,60.4411,66,58,,,430,0.0,0.0,0.0,18.15738972261418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,124.0395,124.0394,124.0404,59.8525,35.6186,84.912,24,12,,,935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56084219538518,0.0,0.0
68,124.0396,124.0395,124.0403,183.2319,155.8263,226.0382,20,12,,,798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18507185258649,0.0,0.0
69,124.9913,124.991,124.9915,34.4796,32.1807,54.0614,148,136,[4][M]-,,19,0.0,0.0,0.0,23.59607766728303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,125.0971,125.0963,125.0972,326.6431,325.4715,337.9849,103,103,,,5,12.362815323515134,12.596618573262448,13.411844627919187,21.082656786160484,22.155166385843685,21.20313870333231,21.090784236890077,21.507713657949207,21.329740564070796,23.52737211096926,21.5886355932866,21.81065200980147
71,125.0971,125.0964,125.0972,281.5235,279.703,282.5116,34,34,,,530,0.0,10.783904679854354,0.0,19.397525437474805,9.316094356794535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,125.8731,125.8729,125.8733,47.8851,8.7213,66.051,309,133,,,860,22.22768693683098,22.391757302529697,22.34656148887646,21.8642151113331,22.98858320104127,22.401977841316057,22.79441208524778,23.277870815510457,23.07028677415508,24.68995759546906,22.962963061302442,22.184314447040432
73,125.8731,125.8731,125.8732,404.2516,396.6783,438.2224,16,11,,,677,21.429313163140517,21.302697219791774,21.78600841941219,21.30299104963574,21.92932785083817,21.768386830478267,21.819548478987997,21.57550726684895,21.5131150356571,21.078536702905836,21.71179876891378,21.947076771819667
74,125.9946,125.9944,125.9947,34.4511,32.4367,35.4958,16,16,[4][M+1]-,,19,0.0,0.0,0.0,17.619699614522027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,126.0196,126.0193,126.0197,46.6156,43.9738,50.0578,69,69,,,644,12.146607842674202,13.989176508981878,13.434167239550147,18.927832164779407,0.0,12.72857402116273,10.530706611980785,0.0,10.405607135084074,13.562263485527911,10.588407636782627,0.0
76,126.8809,126.8808,126.881,1.6748,1.0317,56.2536,162,151,,,40,21.452766708247562,21.034899607680774,21.491399786632336,21.838129727969093,21.841071012593506,21.05564472943852,20.954890156007906,20.896041604327372,21.11026957509077,23.05357229987219,20.8675290186853,20.791820267836858
77,126.9035,126.9034,126.9035,30.653,28.3771,31.5875,9,9,,,9,0.0,0.0,0.0,16.610538170738874,9.691728676807779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,126.9049,126.9047,126.905,35.8944,30.0306,40.4272,39,39,,,609,25.178222414438782,24.6573766262291,25.266355533281708,13.962420136767227,12.21172168841756,14.917483640754297,13.000692197311954,0.0,18.44226645205118,0.0,14.71178241929213,12.857292062034405
79,126.9528,126.9527,126.953,48.8428,46.7943,50.5727,11,11,,,856,0.0,0.0,0.0,13.926538450147842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,126.9871,126.9868,126.9873,34.4455,32.1807,35.4958,55,55,[4][M+2]-,,19,0.0,0.0,0.0,18.752816841431954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,127.0148,127.0147,127.0149,92.9295,88.3691,98.5403,30,30,,,206,14.293552003427681,13.913344745319229,14.633416112532059,16.333378731759897,14.888493243147641,15.176904335208754,15.163964373945944,14.90944735650528,12.69562570761857,15.573630610316455,15.483887850672996,15.665227720421697
82,127.04,127.0399,127.04,220.5456,219.4819,223.7095,20,19,,,953,14.87111675054703,13.74026526518082,13.517663505993303,16.774802798083645,12.923580525871973,13.145192620491525,13.147321004016273,12.421904185260267,13.335046507585783,13.05133014245315,13.616579101827568,13.150227390778472
83,127.0513,127.0511,127.0514,257.8857,256.1834,260.3009,34,34,,,10,20.12477029835165,20.061033645937425,20.187521347364385,18.19493574637264,0.0,0.0,0.0,0.0,0.0,9.309204794199424,0.0,0.0
84,127.8702,127.8699,127.8703,45.5598,10.7261,65.7402,130,88,,[M-H]- 128.874,21,21.852269889742004,22.41413945103354,22.224644465836434,20.87800242344428,22.659187192874036,21.429061135499133,22.275754514852178,22.60538296080179,22.396506002296103,24.29820344229664,22.262302645484347,21.160839440675467
85,128.0352,128.035,128.0354,64.0508,32.9955,69.1188,140,137,[5][M]-,,44,15.685574183699057,17.03920012463577,14.798244351480928,23.289852715292284,14.521590285245816,14.449339542120859,15.419470142432681,14.574778620033147,15.026022674348136,14.98242445541357,14.952442406279642,15.488009775999041
86,128.8779,128.8778,128.8781,1.6786,1.2136,20.9873,151,148,,,40,21.956049497945678,21.687226452486076,20.775068195483467,21.15256291271947,21.124072004592712,20.3530314322418,20.19096958092963,20.020219416722714,20.309214308062966,22.241814015768327,20.055292037986455,19.92328846492577
87,128.8813,128.8811,128.8815,88.8163,42.5694,116.7078,273,52,,,216,17.850634485789637,16.470519409781044,17.580708861563057,19.638993092513108,19.315702572370995,21.280309510411318,19.987403440311542,20.274750090788135,21.06936578426995,23.044265314150067,21.00588246012807,20.574027206980784
88,128.8813,128.8812,128.8813,131.17,117.477,155.7561,135,41,,,1030,18.77778115772231,18.056700686225053,18.249032773735266,19.855883133029792,19.803432617044347,19.611221332464613,19.393197587041747,19.43878268300911,19.916958281063696,18.69762725248892,19.83102221805122,19.670059120894162
89,128.9284,128.9282,128.9285,563.7184,498.7748,598.9253,889,143,,,196,19.290572296602686,18.539874154265313,20.11661513625693,19.49571905964066,18.979997390572418,20.332525282875743,19.689260170382433,20.156746543658464,20.14660413935033,21.69680896415891,20.05492930811177,20.06797048480301
90,129.0192,129.0192,129.0193,99.2523,88.878,121.4232,126,107,,,198,16.62324705490057,16.43953536068055,15.384557852802729,19.552451679786248,16.05778571914854,15.070810677275155,15.584914178320378,15.645154879938545,15.645839078491539,14.458249823017981,14.732955212679274,14.930496688840153
91,129.0192,129.0192,129.0193,139.7841,129.1167,171.5757,42,42,,,87,16.23106853728221,16.105444735532004,14.711382886872006,14.883666102544952,15.103642383464111,14.891708186483347,14.021453877369861,15.534360301386466,14.022211181441472,15.163430735428324,14.919307830015962,15.457134681733192
92,129.0192,129.019,129.0202,59.591,22.7796,76.1255,198,111,,,936,17.610133198653234,16.324640842666213,15.61764532479052,19.873696370182017,14.546364050097717,15.752804607503817,15.359148693488256,16.07806584703729,13.713967174564315,14.78185956543258,14.97147366663789,16.098369560131122
93,129.0385,129.0383,129.0387,63.5605,60.831,68.1172,90,90,[5][M+1]-,,44,0.0,11.211064432383331,0.0,18.818952870878764,11.001232599665311,9.805319552308191,0.0,0.0,0.0,0.0,0.0,0.0
