,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,X1,isotopes,adduct,pcgroup,T_O3B7,W_O4B7_avg,R_O5B7,F_O6B7,W_O11B7,F_O13B7,Sa_O14B7,M_O16B7,W_O18B7_avg,F_O20B7,Sa_O21B7_avg,M_O23B7,Sa_N4B7_avg,W_N8B7,W_N22B7,W_N29B7,Sa_D2B7_avg,W_D6B7,Sa_D9B7,W_D13B7,Sa_D16B7,W_D20B7_avg,T_O3B61,W_O4B61_avg,R_O5B61,F_O6B61,W_O11B61,R_O12B61neg_54,F_O13B61,Sa_O14B61,W_O18B61_avg,F_O20B61,Sa_O21B61_avg,M_O23B61,T_O24B61,W_O25B61,Sa_N4B61_avg,W_N8B61,Sa_N11B61,Sa_N18B61,W_N22B61,Sa_D2B61_avg,W_D6B61,Sa_D9B61,W_D13B61,Sa_D16B61,W_D20B61_avg,M_O2B84,T_O3B84,W_O4B84_avg,R_O5B84,F_O6B84,W_O11B84,M_O16B84,W_O18B84_avg,F_O20B84_avg,Sa_O21B84_avg,M_O23B84,T_O24B84,W_O25B84,Sa_N4B84_avg,Sa_N11B84,W_N15B84,Sa_N18B84,W_N22B84,Sa_D2B84,W_D6B84,Sa_D9B84,W_D13B84,Sa_D16B84,MQ Blank neg (batch 1),MQ Blank neg ,MQ Blank neg ,"MQ Blank neg (batch 2, 07.30.18)",MQ Blank neg,MQ Blank neg,MQ Blank neg ,MQ Blank neg ,"MQ Blank neg (07.31.18 rerun some samples, new aliquot)",MQ Blank neg,MQ Blank neg,MQ Blank neg,UW O18B84 CTL neg ,UW O14B61 CTL neg ,UW O11B7-CTL neg,UW O14B7-CTL neg ,UW O11B61-CTL neg ,UW O11B7-CTL neg redo,UW O14B7-CTL neg redo,UW O11B61-CTL neg redo,UW O14B61-CTL neg redo
3,100.9335,100.93344,100.93358,544.81424,527.92468,550.02808,60,58,,,750,1.305644616689353,2.4623444970727846,0.8584277766665096,3.2625924775018653,1.2574690173677396,1.2173028795744365,1.2365070326066743,3.35353462556224,3.0884168136598067,0.3550999032876234,2.3489400574337687,1.3956275844565091,0.8885859230324566,0.7101998065752468,3.3272934260846476,2.918174937142034,2.1391730398690605,3.0288335667326933,0.3550999032876234,3.2727117331086752,3.1280185539895164,2.3610442338170046,4.591318781538696,2.0450764427547075,2.842149367990725,2.5566078170467073,1.6613669166830327,0.18950155552774994,1.4656090920315883,2.4235353272403835,2.8949785730455737,1.4083759130269264,3.448647900757397,3.811922760736344,1.9254443392794087,3.2986110220509453,2.076911051443629,2.477756914615508,1.2450680819836855,0.3790031110554999,1.8690190406156475,1.258943786128464,3.027256589147946,1.0776282891239468,1.6222041428911709,2.1030567283393466,1.772258640861855,2.3723974605093474,3.69949716787929,3.0009699472346547,1.8720044329625019,2.9724626956830917,2.6087993856524143,0.7598951857096132,2.968412028242195,1.6683031850379777,3.058581634860227,1.8308667662710612,3.534081788886816,3.9780546115538122,2.4225896986690856,2.4705972411607213,2.7162555509511677,2.801044712462655,1.5563879520683521,1.074237657284442,2.9832363076688466,3.0683190840145684,4.389207005587483,1.7418884024620276,20.977831014800618,21.111197291199808,21.21722876269273,19.2063560157197,22.6663193133054,22.83565804768699,21.972680019443832,21.87005569454459,24.254044487334337,0.0,21.63419605068211,21.77038563352757,2.074395100416833,0.0,2.721474308724673,2.056990477289535,2.5563652102266516,1.6418830091932541,1.938402761500189,1.9481414124416396,1.6083525862534138
6,101.93365,101.93361,101.93372,570.76367,536.85938,599.52942,505,91,,,61,1.9172518066748907,1.1222566628779322,1.785833042835634,1.9829904830190017,0.3629260712596789,0.6193321846204398,2.6756404238656515,2.12554114854494,2.844906144320454,1.5825174686481915,1.0746550999542421,1.1688450197790914,1.4949080090394578,3.655297709276006,0.4425010922976256,0.33407940621169274,1.8028521914302846,2.1697995483637236,1.6873911724537969,2.3592386808033723,0.16703970310584637,2.8775059347908307,2.2165314037027706,1.596709844377374,2.7036623813318137,1.333288089544773,1.2682232120831713,1.9004481303148602,1.8784069320659995,0.9020429740105911,2.1392904368714962,1.819535836632948,1.7839840532576616,2.903608300372934,1.1435624641488822,0.42317473085180524,1.4457257446348901,2.4758155800515915,2.0212064335283593,0.278547809491581,1.9918315861855511,2.474279806478588,1.343986832063937,0.6458361286204735,1.526975906025168,1.2209223906033202,1.1998726095568557,1.486803988806745,1.9871833478573215,1.3721536774294538,0.467720850102026,1.5918029273359693,2.4865994599247294,1.8460882271250725,2.225275588646019,2.419540321925382,0.9225433638406013,0.9568728004857014,3.0749416848427202,3.542263089752172,1.125224487875247,2.3044463418254395,1.7117736123121219,1.7599932768089204,1.3748472495457023,1.0705431755395374,1.7248139566926497,0.48032719022707937,2.227838919885034,0.8190668444154738,19.839691744187157,20.248719364249006,20.4135990954784,21.104953913598465,20.610794580911996,21.496870160004843,20.945127924829297,21.185939024307146,21.543927926885516,0.0,20.950793511411803,20.977092132834755,0.6187648634026779,0.4074278845665056,3.2759691059351184,1.2265546442158843,2.5319532064711474,1.9272853739606433,1.6124555339720423,1.8347420338352691,2.000025605325771
11,102.95678,102.95655,102.95686,30.19043,21.95355,31.27198,141,141,,,454,1.3898525594964823,0.9185507575534881,1.3409152252104306,1.477549094348845,1.4058525126737464,1.4515803219776267,1.5665409452226093,1.4386425838115144,1.4860503308303734,1.6024955851328997,1.5131738782622506,1.492354745154394,1.712145978304104,1.346979758724192,0.030267745078154107,0.22216835247135336,1.326093580856213,1.499630182240356,1.325086975877884,1.7345066830254403,0.060535490156308214,2.4211968104085937,1.530331151113387,1.4783456183786985,1.393011693257101,1.3305093197903055,2.218314054798732,1.404238942808945,1.434958334002058,1.7816469745144197,1.5672937831751064,1.783516042674556,1.2194072873963417,1.5577547582075795,1.115014603140068,0.5432421249238963,1.4673584555911994,1.4588537499392444,1.4922119734526866,0.6793794034726233,2.2266213107167587,1.5009430591417647,1.3993256677829606,1.702749296447358,0.6548418785617827,1.316884936162495,1.0943857229218423,1.4202192565386795,1.5647132772348442,1.515814026848945,2.138964914182754,1.5368921225585126,1.546277684350617,1.5645465173679582,1.5633968506339606,1.4731318874985853,1.06892262539332,1.5137654032757482,1.4820589592867819,3.425547877553935,1.1415391488972872,1.5176291730283253,1.6598838453999214,1.4781414745943735,1.410446528368361,1.7891764194669157,1.3750131490393223,0.5938801980306216,1.56292125146242,1.9466205769106217,21.358327553165076,21.38214677427323,21.28430843799432,20.752975174901792,20.870392822439225,21.001763266876672,21.214819936379282,21.249723990070308,20.951064568940694,20.933798070952278,21.059541896386854,21.22916572295583,1.3817628925529526,1.4359725920325772,2.107988287026945,1.7310607472974517,1.715871842807207,1.754752211721776,3.2582884083995793,1.4110097712627834,1.1355664308228484
12,102.98861,102.98855,102.98868,27.46027,24.99155,28.56318,137,137,,,3,12.17216468959165,11.711745502126837,11.915199609621503,12.330592685601946,11.975812920162102,12.057405122390115,11.767142595650938,12.124210911340036,12.00116741777043,12.118524948732365,11.85762722389741,11.883592370729698,11.998982830073816,11.887481444178675,10.655630555306182,11.255319005056933,12.045553519207564,12.188053912380735,11.919819587071942,12.594297627168224,9.66375523931556,12.813214687186498,11.92219178658613,11.924052327202187,11.984694107029458,12.011219194967719,11.180822585710846,12.072174866754509,12.08205477934193,12.253838270688465,11.850965148474017,12.105991623989919,12.421475484017828,11.901947451650301,12.08857747462164,11.1100481343972,12.164086968724202,12.004924985882681,11.521826191542576,11.054975232988305,11.748895213075443,11.394931909398432,11.917582546560705,11.341842902654182,11.723589921790001,11.792146125686397,11.720589812390301,12.047236196342237,12.008823427175109,12.115541348623566,11.999182775884051,11.522039221257604,11.746304479833647,11.914207806910408,12.074895750983536,11.89002762113548,11.473953378948796,12.047152309045913,12.045065479232857,13.8401893239324,11.929336868753152,11.943204806576905,11.856015654782563,11.813091399647401,12.146679581699726,12.030040977642525,11.930742830992216,11.069531136863151,11.761770368871662,11.73886733580705,0.0,0.0,12.121310222820872,10.542012872868876,0.0,9.836191701396535,0.0,11.01900997244103,12.553434414241297,9.191663813320627,10.38047447009521,14.090661288909264,11.919671397482961,7.140630258109149,7.760307282006848,8.039143356460155,7.698680210585411,5.609768434848301,8.14332571473986,7.877376808388772,7.292383261222697
13,103.03997,103.03919,103.04003,105.14418,70.06054,129.19804,130,123,,,927,0.18018571631191982,4.6412507217537335,4.933528210243836,4.340075172034979,5.124452539191868,5.270902219418062,0.09009285815595991,3.6149332505998686,4.576645640073423,1.6226575404856618,1.4762911360106372,3.6649638323287874,4.755244621762898,4.534311030853811,2.4599716535360514,2.675486394150461,3.1537024643643807,3.9300549464526036,0.8967909574224269,3.881571764478668,0.09009285815595991,4.647195508689238,3.7168043775648556,4.118296436099568,4.400351508158575,4.169400059747073,2.909754992678561,2.3955779640404344,3.256935957122298,3.7163185058758543,4.250399219342462,4.2981210456178545,0.43645896409662743,3.3381540538164245,3.9635619379460145,0.07509953338061948,4.2008273681498896,4.008694887672565,3.4409898781215986,3.6623453616974686,3.0880957054068077,1.027406348389345,4.197053353126773,3.8593565035977306,4.585965350066488,2.0477438212091563,1.6394520292550219,4.007001579097071,3.008254259155631,4.508227784194039,4.756798291506609,3.298402681380601,4.290489473998548,4.744282874984133,4.410360193764946,3.81035613178466,4.2995799895872615,4.851972682700975,4.352173026687524,6.885020693023634,4.360140117871904,4.9387930663392865,4.223998841298453,3.865164924481739,4.470119577467507,4.573223810219723,3.595764151685522,2.8595139120699002,3.9035611522285443,4.30099791983902,16.55949284744795,14.919051734026686,14.99160394313219,14.572475152451508,15.131635649828738,15.092023298870963,14.52280543202127,14.937533241693975,14.759753698611572,15.513053211545078,14.037937207776892,14.377497745519765,4.954505362327062,0.0,0.0,0.0,0.35883632372072327,0.0,0.6098727744353294,0.0,0.1931072021264395
16,104.95382,104.95363,104.95389,30.19043,21.95355,31.27198,151,151,,,455,1.4834547562022458,1.0105712844472148,1.4775357594294114,1.5401686670966228,1.5706344192207595,1.5893577191143464,1.663504061815015,1.5243442282766502,1.6077128131855378,1.6207615021386381,1.6543137257965235,1.583503786046112,1.5957791622304054,0.9503109440057429,0.5380978902628968,0.2899820280271932,1.4461988644750345,1.5961328474117131,1.4184373255725191,1.825302484851214,0.1449910140135966,2.539668310413523,1.5679167837786387,1.5682274205456341,1.4920883703703751,1.8384579100070653,1.937287881191768,1.5087089568219234,1.5235428203313042,1.7609868779013524,1.656393305563558,1.8191214433324525,1.4898603944133608,1.7061220144978293,1.5129589049976744,0.41866498694863097,1.6659277152501701,1.5343957830357873,1.6598314583711868,0.7533269265247284,2.3263018114928578,1.6555237838519528,1.3735447488221268,1.8111375601446298,1.7153918454029373,1.7523086074787741,1.178335515938647,1.4400747438382417,1.6596270079736648,1.5390680229437006,1.8373954828390033,1.6216025719672125,1.603854508254944,1.6671601235440505,1.610049118877031,1.5691194671613076,1.121940685191083,1.5702037897375973,1.5514047408640579,3.5092538409674923,1.530633894392297,1.9707273211560228,1.728737253852863,1.7581281706740164,1.8641351595035403,1.860806116935077,1.4325237442549081,0.7436319456666425,1.6685271191445494,1.6542485606889485,20.02443577873605,20.037446398307118,19.962328365165646,19.345661701829634,19.377954822561055,19.57975440288656,19.80173059395464,19.90436785683506,19.567760030015815,19.46818764929972,19.62142587026856,19.796035675847207,1.4880555245271019,1.4761770783773827,2.156304622793048,1.8034809654087276,1.7351659882319304,1.8344381112325756,3.3532976169125916,1.4439857228436352,1.190287952716961
18,105.01926,105.01906,105.0194,38.44971,35.73117,40.16484,98,98,,,22,13.953720523117923,14.30030665569626,16.023990683235578,14.19011132311115,15.04763581066237,14.710964683413174,5.501327555909655,13.98727035878781,14.504402818716002,13.61141582934722,10.543174375534306,13.971014870700323,6.668833805991888,14.708603230253306,2.7506637779548275,2.7506637779548275,13.283757638964246,14.160156532808884,9.588681660116766,14.442795834687235,2.7506637779548275,14.793050383052728,14.3007501884519,13.717305854941426,14.352705378317179,15.463405300733353,12.285033090412906,13.745577308455815,13.485309808574886,13.205126014734606,13.544412074564274,14.74319472257443,13.178074669223674,5.00730712801349,14.986303564844576,5.00730712801349,13.668466192407905,14.150935697272988,5.00730712801349,12.70766908060116,10.01461425602698,5.00730712801349,14.31425078521018,14.284499183062934,13.721598453729484,12.505012883694118,12.32561112864437,13.03777021406582,13.662424508148078,13.875846252504525,14.679652253114536,14.150259799698812,14.127085235323431,14.37477390145649,13.924667320358964,13.583424575795362,14.683422425295477,14.018451985939596,13.429180075412752,16.101651678956376,13.965767165867344,15.733936560083198,13.86788934760854,14.43190535392889,15.92099784563393,14.798923235308674,13.560531797446895,12.646209989214434,13.820441948718294,13.937880021538316,0.0,10.72245651375153,0.0,0.0,11.171126087660795,11.113762418357869,0.0,9.01629481085655,0.0,10.158391368378156,0.0,0.0,14.338197263959245,13.844538340194479,11.83761835730662,11.35260824959034,0.0,0.0,0.0,0.0,0.0
20,107.05011,107.05003,107.05021,287.56886,282.42352,288.77414,88,83,,,16,12.93655674726763,14.718194934607864,14.817619396279465,14.462331029294422,15.094875211805476,14.892713843182982,11.95373898738303,13.642734622617699,14.517276017303715,13.363119969132391,11.151385757117284,13.9171816362947,14.21656767819062,15.220852353489036,13.233842552588502,11.298691078593578,13.447706872308233,14.59384831811916,10.149177780804031,14.889344542388631,10.404876524207111,14.667975192386912,13.828981081619421,14.66538807773613,13.265725648330857,14.513735467112777,13.555845048846813,11.516773334622684,12.520885192413143,13.348377163567811,14.467363366573347,14.251594305702326,12.614654170683568,11.40006864860586,12.94825021678935,9.452953780876626,13.564409878998378,14.13276567820434,14.257264390213681,14.012292807512694,11.438499387564626,4.786240119000954,14.447298581171914,13.234488222528082,13.606653466216944,12.423812148122934,12.52930712645319,14.875435898687297,13.38903922647983,14.029879034848193,14.000272621928666,12.768899387863371,13.363956740991831,14.032789108226122,14.363812466484168,13.58235718179793,13.795751720509633,12.964170129242152,14.053515713038852,15.922982566261357,14.275724554355993,14.085411138053939,14.219490270882687,14.138235569281242,15.066984903619204,14.449790851688388,13.905096943945196,12.350203095727363,13.08780350378349,15.26023491837461,11.471990571359752,0.0,0.0,0.0,0.0,10.156842224140208,0.0,9.110386959647307,9.44572742834077,9.549799950857706,0.0,0.0,14.756636080742876,7.161993176932496,0.0,5.077206984457462,0.0,6.675266700469397,0.0,0.0,0.0
21,108.02158,108.02154,108.02163,305.81404,304.21542,306.46634,58,58,,,925,18.476144670901288,17.906521890889273,17.73703525790248,15.697757245749777,18.438113944011118,16.121828640845827,16.891364088786062,17.947164302193567,17.202398542396914,14.719192164758947,16.540175624141373,15.816024230975884,11.644813142396927,18.145976292614577,11.323999781065652,12.727874046586026,16.731423239160115,15.301395697961183,9.738287254163849,17.737830647521694,12.741827806740408,20.9375525194636,14.444934565876729,13.66803820192724,3.820128426982941,7.640256853965882,9.424772314401887,3.820128426982941,9.763754042197005,17.58117567301582,12.827854807076102,12.4295104778218,17.329852507678453,14.893873621005472,12.638160532799487,11.836253194096727,11.831545858519622,13.434411108425207,12.736634908726115,14.285402264013182,16.721942276554827,13.597788690571946,9.503113859124463,13.037496018105658,18.075946056484494,14.316995573451544,10.918610064341436,14.399973065428332,13.810972645791434,13.937242875742825,10.38587339815187,14.180459737795992,13.63387082943396,15.089943316025561,11.504423535814219,17.54712719605012,12.312549015707726,4.5323293945785545,15.47569681951633,13.205140586439395,17.352107566067186,13.201445961250311,12.280935202384047,9.911079424378196,9.064658789157109,15.221192448755026,14.98488999637702,13.906493919604634,16.341364463009985,4.5323293945785545,9.384917024464558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.375063033248294,0.0,12.38774612763421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,108.90189,108.90178,108.90204,31.04624,29.13007,32.20755,103,103,,[M-H]- 109.914,9,17.99936984164202,17.64363574865393,18.0917944807591,18.244336062165395,16.677449376165413,18.260297655150232,17.57740581614995,18.18149391516061,17.74664227806177,16.4496477851325,16.884199915122064,17.973834420512468,17.806929601975842,18.182799634226413,16.33620598299578,16.84889072904393,17.65364700143821,14.672568341777604,16.89871798105311,17.614534903087588,15.557616934170396,19.255875016568286,14.419657018482583,16.09422299656932,17.25030851029178,17.08471980505,16.513849504131052,16.94105311021162,17.034482661527925,17.086136445679877,16.836768002302936,17.172073214031627,17.55977640208866,16.809167650221475,16.933736089121943,16.05535031414388,17.514005685044022,17.045045026363546,16.155228645938628,15.975353186774582,16.350286764868876,16.50336929230579,16.85554804169017,16.96663819126824,16.70907587272383,14.291795072783563,16.39448520195155,16.890064529191,17.111075314870376,16.932741753662985,13.166984818103522,16.94918344760908,14.980134816455989,16.916462118300082,16.984427523222266,14.318191076850255,16.513557122443775,16.931933853363454,16.849821863378892,18.76604863096,16.81285729812534,12.373498675093662,16.881589906104495,17.018934015440934,16.7733323868665,16.125632870307562,16.73808830941305,15.393921227151926,15.182667806714528,17.1563730862795,0.0,11.750299040843826,10.908603095429504,0.0,0.0,0.0,0.0,0.0,9.440640941617334,0.0,0.0,0.0,16.818540630143993,9.546046347417516,11.564534905460393,11.535222453012087,10.109990898798058,11.57667152964162,10.63165879817729,11.130808001179203,9.01572964944242
